Confirmed,Date,Deaths,NewCases,Recovered,State
1.0,2020-01-22,0.0,,0.0,Washington
1.0,2020-01-23,0.0,0.0,0.0,Washington
1.0,2020-01-24,0.0,0.0,0.0,Washington
1.0,2020-01-25,0.0,0.0,0.0,Washington
1.0,2020-01-26,0.0,0.0,0.0,Washington
1.0,2020-01-27,0.0,0.0,0.0,Washington
1.0,2020-01-28,0.0,0.0,0.0,Washington
1.0,2020-01-29,0.0,0.0,0.0,Washington
1.0,2020-01-30,0.0,0.0,0.0,Washington
1.0,2020-01-31,0.0,0.0,0.0,Washington
1.0,2020-02-01,0.0,0.0,0.0,Washington
1.0,2020-02-02,0.0,0.0,0.0,Washington
1.0,2020-02-03,0.0,0.0,0.0,Washington
1.0,2020-02-04,0.0,0.0,0.0,Washington
1.0,2020-02-05,0.0,0.0,0.0,Washington
1.0,2020-02-06,0.0,0.0,0.0,Washington
1.0,2020-02-07,0.0,0.0,0.0,Washington
1.0,2020-02-08,0.0,0.0,0.0,Washington
1.0,2020-02-09,0.0,0.0,1.0,Washington
1.0,2020-02-10,0.0,0.0,1.0,Washington
1.0,2020-02-11,0.0,0.0,1.0,Washington
1.0,2020-02-12,0.0,0.0,1.0,Washington
1.0,2020-02-13,0.0,0.0,1.0,Washington
1.0,2020-02-14,0.0,0.0,1.0,Washington
1.0,2020-02-15,0.0,0.0,1.0,Washington
1.0,2020-02-16,0.0,0.0,1.0,Washington
1.0,2020-02-17,0.0,0.0,1.0,Washington
1.0,2020-02-18,0.0,0.0,1.0,Washington
1.0,2020-02-19,0.0,0.0,1.0,Washington
1.0,2020-02-20,0.0,0.0,1.0,Washington
1.0,2020-02-21,0.0,0.0,1.0,Washington
1.0,2020-02-22,0.0,0.0,1.0,Washington
1.0,2020-02-23,0.0,0.0,1.0,Washington
1.0,2020-02-24,0.0,0.0,1.0,Washington
1.0,2020-02-25,0.0,0.0,1.0,Washington
1.0,2020-02-26,0.0,0.0,1.0,Washington
1.0,2020-02-27,0.0,0.0,1.0,Washington
1.0,2020-02-28,0.0,0.0,1.0,Washington
7.0,2020-02-29,1.0,6.0,1.0,Washington
11.0,2020-03-01,1.0,4.0,1.0,Washington
18.0,2020-03-02,6.0,7.0,1.0,Washington
27.0,2020-03-03,7.0,9.0,1.0,Washington
39.0,2020-03-04,10.0,12.0,1.0,Washington
70.0,2020-03-05,11.0,31.0,1.0,Washington
83.0,2020-03-06,13.0,13.0,1.0,Washington
107.0,2020-03-07,16.0,24.0,1.0,Washington
128.0,2020-03-08,18.0,21.0,1.0,Washington
128.0,2020-03-09,19.0,0.0,1.0,Washington
267.0,2020-03-10,23.0,139.0,1.0,Washington
366.0,2020-03-11,29.0,99.0,1.0,Washington
442.0,2020-03-12,31.0,76.0,1.0,Washington
568.0,2020-03-13,37.0,126.0,1.0,Washington
572.0,2020-03-14,37.0,4.0,1.0,Washington
643.0,2020-03-15,40.0,71.0,1.0,Washington
904.0,2020-03-16,48.0,261.0,1.0,Washington
